Hidden Layers,Optimizer,Activation Function,Epochs,Test Accuracy
2,adam,relu,5,0.8720445036888123
2,adam,relu,10,0.8929068446159363
2,adam,relu,20,0.8929068446159363
2,adam,tanh,5,0.755215585231781
2,adam,tanh,10,0.8998609185218811
2,adam,tanh,20,0.8817802667617798
2,adam,sigmoid,5,0.31015297770500183
2,adam,sigmoid,10,0.31988874077796936
2,adam,sigmoid,20,0.30180805921554565
2,RMSprop,relu,5,0.8553546667098999
2,RMSprop,relu,10,0.8776077628135681
2,RMSprop,relu,20,0.8845618963241577
2,RMSprop,tanh,5,0.755215585231781
2,RMSprop,tanh,10,0.8636995553970337
2,RMSprop,tanh,20,0.8720445036888123
2,RMSprop,sigmoid,5,0.3157162666320801
2,RMSprop,sigmoid,10,0.30598053336143494
2,RMSprop,sigmoid,20,0.31015297770500183
2,SGD,relu,5,0.6842837333679199
2,SGD,relu,10,0.8344923257827759
2,SGD,relu,20,0.8609179258346558
2,SGD,tanh,5,0.7468706369400024
2,SGD,tanh,10,0.8025034666061401
2,SGD,tanh,20,0.8664812445640564
2,SGD,sigmoid,5,0.30598053336143494
2,SGD,sigmoid,10,0.3115438222885132
2,SGD,sigmoid,20,0.31293463706970215
3,adam,relu,5,0.8553546667098999
3,adam,relu,10,0.9346314072608948
3,adam,relu,20,0.92767733335495
3,adam,tanh,5,0.8650904297828674
3,adam,tanh,10,0.8692628741264343
3,adam,tanh,20,0.8706536889076233
3,adam,sigmoid,5,0.30458971858024597
3,adam,sigmoid,10,0.31015297770500183
3,adam,sigmoid,20,0.755215585231781
3,RMSprop,relu,5,0.8859527111053467
3,RMSprop,relu,10,0.8984701037406921
3,RMSprop,relu,20,0.8998609185218811
3,RMSprop,tanh,5,0.21974965929985046
3,RMSprop,tanh,10,0.8762169480323792
3,RMSprop,tanh,20,0.8553546667098999
3,RMSprop,sigmoid,5,0.29763561487197876
3,RMSprop,sigmoid,10,0.30876216292381287
3,RMSprop,sigmoid,20,0.4993045926094055
3,SGD,relu,5,0.6189151406288147
3,SGD,relu,10,0.7983310222625732
3,SGD,relu,20,0.8706536889076233
3,SGD,tanh,5,0.7246175408363342
3,SGD,tanh,10,0.778859555721283
3,SGD,tanh,20,0.8609179258346558
3,SGD,sigmoid,5,0.2934631407260895
3,SGD,sigmoid,10,0.3115438222885132
3,SGD,sigmoid,20,0.30458971858024597
5,adam,relu,5,0.8164116740226746
5,adam,relu,10,0.8720445036888123
5,adam,relu,20,0.902642548084259
5,adam,tanh,5,0.8414464592933655
5,adam,tanh,10,0.8762169480323792
5,adam,tanh,20,0.8970792889595032
5,adam,sigmoid,5,0.3143254518508911
5,adam,sigmoid,10,0.3031988739967346
5,adam,sigmoid,20,0.30876216292381287
5,RMSprop,relu,5,0.8358832001686096
5,RMSprop,relu,10,0.8956884741783142
5,RMSprop,relu,20,0.8915159702301025
5,RMSprop,tanh,5,0.8595271110534668
5,RMSprop,tanh,10,0.8776077628135681
5,RMSprop,tanh,20,0.8748261332511902
5,RMSprop,sigmoid,5,0.29763561487197876
5,RMSprop,sigmoid,10,0.3212795555591583
5,RMSprop,sigmoid,20,0.3004172444343567
5,SGD,relu,5,0.5813630223274231
5,SGD,relu,10,0.6383866667747498
5,SGD,relu,20,0.7510431408882141
5,SGD,tanh,5,0.6731571555137634
5,SGD,tanh,10,0.7482614517211914
5,SGD,tanh,20,0.8372740149497986
5,SGD,sigmoid,5,0.3073713481426239
5,SGD,sigmoid,10,0.31015297770500183
5,SGD,sigmoid,20,0.31015297770500183
